rank,nmse,cos,token_str,token_id,position,seq_len,vec_norm,av_parsed,text_preview,explanation
1,1.9014655,0.04926751,Indonesia,107566,465,48,36401.188,True,Indonesia: Obama “snub” no reason to be disappointed · Global Voices\nMong Palatino\n\nIndonesia Anonymus insists that the exclusion of Indonesia in US President Barack Obama's Asian Tour is not enough r,"Academic/technical article structure: a blog post reviewing a specific research paper, with a structured argument about the Fibonacci sequence and the Fibonacci number.\n\nThe phrase ""The Fibonacci sequence is a sequence of numbers where..."" signals a standard citation/reference pattern, with ""The article is in the journal"" establishing a bibliographic or summary block.\n\nFinal token ""it'"" opens a repeated phrase (""it'"") — likely continuing with ""s"" or ""the article"" or ""the article is..."" or ""This is..."" or ""The Fibonacci number"" or ""a summary of the article"" — a closing clause referencing the sentence ""The article is in the journal..."" or a copyright notice."
2,1.8937507,0.053124875,Hamburg,235555,403,110,36177.656,True,"Hamburg And Rice\nBy: Anonymous\nPublished: Sunday, December 20, 2009 - 10:01pm\n\nIngredients\n\n\n\n\n1 pound hamburg\nOnion\nSalt and pepper\n1 can cream of chicken soup\n1 can Minute Rice\n\nPreparation\n\n1 Fry h","Technical article structure: a blog post reviewing a specific research paper, with a structured argument about the Fibonacci sequence and the harmonic oscillator.\n\nThe phrase ""The result is that the first three eigenvalues of the Hamiltonian are..."" signals a standard academic citation/reference pattern, with ""The paper is published in...""\n\nFinal token ""it'"" opens a repeated phrase (""it'"") — likely continuing with ""s"" or ""the article"" or ""the article is..."" or ""This is a classic..."" or ""the article is available at..."" or ""the Fibonacci numbers"" — a closing citation or continuation like ""the article"" or ""the article is..."" mirroring the ""it."""
3,1.8736663,0.06316685,Nigeria,109972,454,59,36413.086,True,Nigeria: ReVoda Turns Voters Into Monitors · Global Voices\nNdesanjo Macha\n\nReVoDa users in Nigeria give verdict on Nigeria’s Presidential Election. ReVoDa allows voters to report as independent citize,"Technical article structure: a blog post reviewing a specific research paper, with a structured argument about the Fibonacci sequence and the Gibbs energy equation.\n\nThe phrase ""The result is that..."" signals a standard academic citation/reference pattern, with ""The paper is published in the journal..."" establishing a repeating boilerplate.\n\nFinal token ""it'"" opens a closing citation phrase (""it's...""), immediately requiring a continuation like ""s"" or ""the article"" — likely ""s"" or ""the article is..."" or ""This is a classic example..."" or ""The article is available at..."" or ""the sentence"" — completing the grammatical reference to the ""it"" pronoun."
4,1.8357052,0.08214738,Hello,9259,373,140,36223.336,True,"Hello, I am Linda Taylor.\nHello, Linda Taylor, how can I assist you today?\nI want to visit the Central Park at New York, NY - LGA, Can you book a ticket on 10/06?\nSure, Can you please provide your sou","Technical article structure: a blog post reviewing a specific research paper, with a consistent pattern of explaining the problem and solution.\n\nThe phrase ""The results of the study are:"" signals a standard citation/reference block, with ""The article is published in the journal:"" establishing a repeating pattern of bibliographic metadata.\n\nFinal token ""it'"" opens a repeated phrase (""it'"") — likely continuing with ""s"" or ""the article"" or ""the article is..."" or ""This is a classic example of..."" or ""The code"" or ""the article is available at..."" — a closing sentence referencing the ""the article"" or a copyright/citation footer typical in academic/forum posts."
5,1.8099929,0.09500357,DR,7560,440,73,36310.457,True,"DRC: June 30 UDPS March in Belgium · Global Voices\nAlice Backer\n\nUDPS Liege offers (Fr) pictures of a June 30 Congolese March in Brussels. Pictured slogans include: ” Louis Michel, the Congo is not fo","Technical article structure: a blog post reviewing a specific research paper, with a consistent pattern of explaining the problem and solution.\n\nThe phrase ""The results of the study are:"" signals a standard citation/reference block, with ""The article is published in the journal:"" establishing a repeating pattern of bibliographic metadata.\n\nFinal token ""it'"" opens a truncated repetition of ""it'"" — likely continuing with ""s"" or ""the article"" or ""the article is..."" or ""This is a classic example of..."" or ""The article is..."" or ""the article is available at..."" — a closing sentence referencing the ""the"" or a copyright/citation phrase for the Python."
6,1.8057628,0.09711887,  ,138,167,346,35747.277,True,"  In this paper, we investigate the feasibility, robustness and optimization of\nintroducing personal comfort systems (PCS), apparatuses that promises in energy\nsaving and comfort improvement, into a b","Technical article structure: a blog post reviewing a specific research paper, with a consistent pattern of explaining the problem and solution.\n\nThe phrase ""The results of the study are:"" signals a standard citation/reference block, with ""The article is published in the journal:"" establishing a repeating pattern of bibliographic metadata.\n\nFinal token ""it'"" opens a closing sentence fragment (""it'""), immediately requiring a contraction or continuation like ""s"" or ""the article"" — likely ""s"" or ""the article"" or ""This is a classic example of..."" or ""The article is..."" or ""The code is available on GitHub"" — a standard academic closing boilerplate for the summary."
7,1.8030617,0.09846915,Bah,77007,457,56,36509.05,True,Bahamas: Renewable Energy · Global Voices\nJanine Mendes-Franco\n\nThe fact that The Bahamas Electricity Corporation will be inviting proposals for renewable energy power purchase agreements in several c,"Technical article structure: a blog post reviewing a specific research paper, with a consistent pattern of explaining the problem and solution.\n\nThe phrase ""The results of the study are:"" signals a standard citation/reference block, with ""The article is published in the journal:"" establishing a repeating pattern of bibliographic metadata.\n\nFinal token ""it'"" opens a truncated repetition of ""it'"" — likely continuing with ""s"" or ""the article"" or ""the article is..."" or ""This is a classic example of..."" or ""The function of the algorithm..."" or ""the article"" — a closing sentence referencing the ""the function"" or a copyright/citation footer typical in academic."
8,1.7774091,0.1112956,Complete,25146,478,35,36269.66,True,"Complete this political dialog on the topic of Newfoundland School System starting with: Mr. Speaker, I have a short comment before putting my question to the Minister of Intergov...","Technical article structure: a blog post reviewing a specific research paper, with a structured argument about the Fibonacci sequence and the Gibbs energy equation.\n\nThe phrase ""The result is that the energy of the system is..."" signals a standard academic citation/reference pattern, with ""The paper is published in...""\n\nFinal token ""it'"" opens a repeated phrase (""it'"") — likely continuing with ""s"" or ""the article"" or ""the article is..."" or ""This is a classic example..."" or ""the article is available in..."" or ""the article is..."" — a closing citation or summary statement referencing the ""it'"" or ""the Gibbs energy"" context."
9,1.7737038,0.1131481,South,23425,421,92,36303.98,True,"South Africa: Eid Mubarak from community blog · Global Voices\nNdesanjo Macha\n\nA community blog, Ramadan.co.za wishes its readers Eid Mubarak: “I hope we have brought value to you this Ramadan, and we ","Technical article structure: a blog post reviewing a specific research paper, with a consistent pattern of explaining the problem and solution.\n\nThe phrase ""The results of the study are:"" signals a standard citation/reference block, with ""The results of the study are:"" introducing a concluding summary or bibliographic note.\n\nFinal token ""it'"" opens a repeated phrase (""it's...""), likely continuing with ""s"" or ""the article"" to complete a citation or copyright notice, or ""This article"" or ""the article is..."" or ""The first step..."" or ""s"" — likely ""The article is..."" or ""a list of the three..."" referencing the ""it."""
10,1.7717521,0.114124306,About,11040,201,312,36295.75,True,"About\nWorked on this Android project for a friend who was about to start a blood donation club in his medical college namely Army Medical College, Cumilla. This app includes information about the dono","Technical article structure: educational blog post with structured argument, following a pattern of explaining a specific topic with citations and examples.\n\nThe phrase ""The following table shows the results of the Fourier transform of the signal"" signals a standard academic citation/reference block, with ""The article is from the journal"" establishing a bibliographic pattern.\n\nFinal token ""it'"" opens a repeated phrase (""it'"") — likely continuing with ""s"" or ""the article"" or ""the article is..."" or ""This is a classic example"" or ""the article"" or ""the article is from..."" — a closing citation phrase referencing the ""The 1999"" or ""the."""
11,1.7500575,0.12497143,[,236840,470,43,35802.85,True,"[Economic Indicators August, 2020]\n[Page Number 27]\n\n\nAGGREGATE RESERVES AND MONETARY BASE\n\nText and graphics unavailable.\n\nSee the corresponding PDF file.","Technical article structure: a blog post reviewing a specific research paper, with a consistent pattern of explaining the problem and solution.\n\nThe phrase ""The results of the study are:"" signals a standard citation/reference block, with ""The article is published in the journal:"" establishing a repeating pattern of bibliographic metadata.\n\nFinal token ""it'"" opens a closing sentence fragment (""it'""), immediately requiring a contraction or continuation like ""s"" or ""the article"" — likely ""s"" or ""the article"" or ""The algorithm is..."" or ""This is a classic example of..."" or ""The article is available at..."" or ""the phrase '..."" to complete the citation boilerplate."
12,1.7473335,0.12633348,Lab,21567,366,147,36305.11,True,Lab 6: Mutant Exploration\nLab 6 Objectives\nThis week you will explore your assigned HCAII mutation by:\n- Working through the site-directed mutagenesis process used to create the mutant\n- Using alignme,"Technical article structure: educational blog post with structured argument, following a pattern of explaining a specific engineering topic with citations.\n\nThe phrase ""The following table shows the results of the Fourier transform of the signal"" signals a standard academic citation/reference block, with ""The Fourier transform of the signal"" establishing a concluding reference.\n\nFinal token ""it'"" opens a repeated phrase (""it'"") — likely continuing with ""s"" or ""the article"" or ""the article is..."" or ""This article"" or ""The article is..."" or ""a list of references"" or ""The problem"" — a closing boilerplate citation phrase typical in academic writing, likely ""the article"" or ""by."""
