rank,nmse,cos,token_str,token_id,position,seq_len,vec_norm,av_parsed,text_preview,explanation
1,0.0005663884,0.9997172,',236789,477,512,475140.38,True,"[Congressional Record Volume 140, Number 146 (Saturday, October 8, 1994)]\n[House]\n[Page H]\nFrom the Congressional Record Online through the Government Printing Office [www.gpo.gov]\n\n\n[Congressional Re","Fragmented, incoherent academic text pattern: fragmented sentences and garbled phrasing suggest a collage or corrupted document, with fragmented literary/cultural references.\n\nThe phrase ""it'"" signals a timestamp or filename fragment, likely a timestamp or filename label (""it'"") continuing a pattern of fragmented text snippets from a literary or academic context.\n\nFinal token ""it'"" opens a timestamp or filename string (""it'"") — immediately expects a timestamp or filename label like ""4"" or a word like ""0"" or ""the city"" or ""3"" to complete a timestamp or filename fragment, likely ""1"" or ""love"" or ""2"" continuing the timestamp marker."
2,0.00056961726,0.9997156, ,236743,505,512,479236.25,True,"Generating Customer Demand and Nurturing Leads & Prospects\n11 Website and Landing Page Optimization\nLearning Objectives\nBy the end of this chapter, you should be able to:\n- Conduct a website audit\n- D","Fragmented, incoherent academic text pattern: fragmented sentences and garbled phrasing suggest a collage or corrupted document, with fragmented literary/cultural references.\n\nThe phrase ""it'"" signals a timestamp or filename fragment, likely a timestamp or filename label (""it'"") continuing a pattern of fragmented text snippets from a literary or academic context.\n\nFinal token ""it'"" opens a timestamp or filename string (""it'"") — immediately expects a timestamp or filename label like ""4"" or a word like ""0"" or ""the city"" or ""3"" to complete a timestamp or filename fragment, likely ""1"" or ""love"" or ""2"" continuing the timestamp marker."
3,0.0005847899,0.9997081, ,236743,465,512,468996.3,True,"Lesson Plan: How to Write a Cover Letter\nOverview\nIncludes three activities, samples, and examples.\nHow to Write a Cover Letter\nType of activity:\nInteractive Discussion\nAttending:\n- Instructor(s)\n- Jo","Fragmented, incoherent academic text pattern: fragmented sentences and garbled phrasing suggest a collage or corrupted document, with fragmented literary/cultural references.\n\nThe phrase ""it'"" signals a timestamp or filename fragment, likely a timestamp or filename label (""it'"") continuing a pattern of fragmented text snippets from a literary or academic context.\n\nFinal token ""it'"" opens a timestamp or filename string (""it'"") — immediately expects a timestamp or filename label like ""4"" or a word like ""1"" or ""the city"" or ""3"" to complete a timestamp or filename fragment, likely ""1"" or ""love"" or ""0"" continuing the timestamp marker."
4,0.00059985236,0.9997005, ,236743,398,512,454661.22,True,"Introduction \nTHE word encyclopaedia was first used by the Greeks, not for a book, but for a system of instruction in the whole circle of learning. Knowledge in their time was still so limited in exte","Fragmented, incoherent academic text pattern: fragmented sentences and garbled phrasing suggest a collage or corrupted document, with fragmented literary/cultural references.\n\nThe phrase ""it'"" signals a timestamp or filename fragment, likely a timestamp or filename label (""it'"") continuing a pattern of fragmented text snippets from a literary or academic context.\n\nFinal token ""it'"" opens a timestamp or filename string (""it'"") — immediately expects a timestamp or filename fragment like ""4"" or ""1"" to complete a timestamp label, likely ""4"" or ""the city"" or ""1"" or ""3"" continuing the filename/timestamp pattern ""it's..."" referencing a specific word or phrase."
5,0.00060308375,0.9996988,’,236858,455,512,460804.72,True,"Section audio\nEmbedded rationality recognizes that what is rational depends on the social context in which you operate. For example, a friend saying, “You’re fired,” when you bring the wrong potato ch","Fragmented, incoherent academic text pattern: fragmented sentences and garbled phrasing suggest a collage or corrupted document, with fragmented literary/cultural references.\n\nThe phrase ""it'"" signals a timestamp or filename fragment, likely a timestamp or filename label (""it'"") continuing a pattern of fragmented text snippets from a literary or academic context.\n\nFinal token ""it'"" opens a timestamp or filename string (""it'"") — immediately expects a timestamp or filename fragment like ""4"" or ""1"" to complete a timestamp label, likely ""4"" or ""the city"" or ""1"" or ""3"" continuing the filename/timestamp pattern ""it's..."" referencing a specific word or phrase."
6,0.00060546136,0.9996976, ,236743,485,512,466948.25,True,"Talk:Jafr alien invasion\n\nImage\nMbz1, did you create the image used in this article? Let me guess, you used a mac? Because the Arabic is completely broken, and it's written backwards. I suggest either","Fragmented, incoherent academic text pattern: fragmented sentences and garbled phrasing suggest a collage or corrupted document, with fragmented literary/cultural references.\n\nThe phrase ""it'"" signals a timestamp or filename fragment, likely a timestamp or filename label (""it'"") continuing a pattern of fragmented text snippets from a literary or academic context.\n\nFinal token ""it'"" opens a timestamp or filename string (""it'"") — immediately expects a timestamp or filename fragment like ""4"" or ""1"" to complete a timestamp label, likely ""4"" or ""the city"" or ""1"" or ""3"" continuing the filename/timestamp pattern ""it's..."" referencing a specific word or phrase."
7,0.0014685732,0.9992656, hot,3425,371,153,85827.414,True," perovskite solar cells, PSEs, have become a hot spot for solar cell researchers due to their rapid increase in efficiency up to 22.1% during the past few years, long carrier diffusion lengths, widely","Academic paper structure: scientific review article format signals a formal introduction to perovskite solar cells, establishing context of the field.\n\nThe phrase ""Perovskite solar cells have become a hot"" introduces a topic sentence, implying a standard academic summary statement about the research area.\n\nFinal token ""hot"" opens a predicate adjective phrase (""have become a hot""), requiring a noun phrase like ""topic of research"" or ""research topic in photovoltaics"" — likely ""topic in recent years"" or ""area of study in photovoltaics."" or ""alternative material for energy conversion"" or ""topic for discussion in the field of perovskite solar cells."""
8,0.0014872715,0.9992563, the,506,401,138,94191.484,True,World History Course Syllabus\nOverview\nThis course is designed for students to gain an understanding of the different eras of history which have created the world in which we live today. The course ex,"Informational/educational tone established: definition of World History, academic tone with informational prose explaining history and social studies.\n\nThe sentence ""This class helps shape the history that has created the"" signals a concluding statement about World History, framing the subject matter as the culmination of global interconnectedness and cultural development.\n\nFinal token ""the"" opens a noun phrase (""created the foundations that have created the""), requiring a noun phrase — likely ""world we live in today"" or ""modern world we know"" or ""society we see today."" or ""world we are living in."" — a formal summary statement about the historical trajectory of the current global culture/society."
9,0.0015342709,0.9992327,0,236771,441,512,62024.465,True,"1. Introduction {#sec1-ijms-24-08091}\nVascular dementia (VaD), a multifactorial disorder characterized by changes to memory, thinking, and behavior of an individual, is caused by damage to brain tissu","Medical/academic article structure: ongoing argumentative discourse with a blog post tone, discussing brain inflammation and drug metabolism in a specific context.\n\nThe sentence ""The problem is that the brain is not a linear system"" signals a repeating pattern of listing limitations/caveats, with the ""the most important thing"" framing.\n\nFinal token ""Let'"" opens a repeated phrase (""They are...""), likely continuing with ""the drug"" or ""the findings"" or ""the overall context"" — likely ""energy metabolism"" or ""side effects"" or ""this comparison"" or ""in the context of..."" or ""they are showing..."" mirroring the earlier ""the drug"" or ""the gut."""
10,0.0015596553,0.99922, create,2619,363,464,82424.164,True,"During the Interview\nJust like a good story, you want to have a “hook,” a memorable and compelling piece that will capture the interviewer’s attention and keep them engaged. Your “hook” or in this cas","Article structure: informational blog format with listed tips, progressing through body language advice for first impressions.\n\nThe sentence ""Your smile will create"" is explaining the benefit of smiling — establishing a positive first impression or emotional connection with the interviewer, linking body language to the overall approachable demeanor.\n\nFinal token ""create"" opens a causal clause (""Your smile will create...This will create""), requiring a noun phrase — likely ""a positive vibe"" or ""an immediate connection with the interviewer"" or ""a feeling of warmth and openness."" or ""a more favorable perception of you."" or ""an atmosphere of positivity since you are relaxed."""
