rank,nmse,cos,token_str,token_id,position,seq_len,vec_norm,av_parsed,text_preview,explanation
1,1.8481561,0.07592222,Android,12087,254,259,36193.53,True,"Android touchevent on view even with dialog in front\nI am making video playback controls.  All my code is present to make it work and it does, except for one thing.  When I touch the surfaceview the c","Technical article structure: a blog post reviewing a specific research paper, with a structured argument about the Fibonacci sequence and the 3D model.\n\nThe phrase ""The Fibonacci sequence is a mathematical pattern that is found in nature"" signals a standard citation/reference boilerplate, suggesting a concluding summary statement.\n\nFinal token ""it'"" opens a repeated phrase (""it'"") — likely continuing with ""s"" or ""the article"" or ""the article is..."" or ""This is..."" mirroring the citation pattern ""The article is available at..."" or ""the article"" or ""the 3D model"" or ""by the University of Cambridge"" closing the sentence."
2,1.8305758,0.0847121,ubuntu,60867,123,390,36404.03,True,ubuntu eclipse mars e(fx)clipse error on startup\nI installed e(fx)clipse over my existing Eclipse Mars installation using the update sites given here: https://projects.eclipse.org/projects/technology.,"Technical tutorial structure: article is presenting a detailed explanation of a specific programming topic, with a structured argument about the Kalman filter.\n\nThe phrase ""The following code is a simple example of the Kalman filter"" signals a standard academic/documentation pattern, with ""The following code"" typically referencing a citation or source.\n\nFinal token ""it'"" opens a repeated phrase (""it'"") — likely continuing with ""s"" or ""the article"" or ""the article is..."" or ""This is a classic..."" or ""the answer"" or ""the article is a blog post"" — a closing citation or copyright boilerplate phrase, likely ""the Kalman filter"" or ""the article"" to complete the sentence."
3,1.7975341,0.10123332,Any,10880,250,263,36549.836,True,"Any suggestions for non-root access package management?\nI've been a long time user of Ubuntu on my personal and work computers, but I've recently starting working on a CentOS system. There are many pa","Technical article structure: a blog post reviewing a specific research paper, with a consistent pattern of explaining the problem and solution.\n\nThe phrase ""The results of the study are:"" signals a standard citation/reference block, with ""The article is published in the journal:"" establishing a repeating pattern of bibliographic metadata.\n\nFinal token ""it'"" opens a truncated repetition of ""it'"" — likely continuing with ""s"" or ""the article"" or ""the article is..."" or ""This is a classic example of..."" or ""The function is..."" or ""the article is available at..."" — a closing sentence referencing the ""the function"" or a copyright/citation footer for the."
4,1.7886492,0.10567531,VPN,97268,287,226,36149.676,True,"VPN Server freezing after client connection\nI have a virtual Windows Server 2012 R2 and there I have a VPN Server. So, client can connect to this server and get an access to the Internet. Client can p","Technical article structure: informational blog post with structured argument, following a pattern of explaining a specific research topic with citations.\n\nThe phrase ""The results of the study are:"" signals a repeating pattern of ""The results of the study are:"" introducing a citation or reference to the article, likely a URL or bibliographic detail.\n\nFinal token ""it'"" opens a closing sentence fragment (""it'"") — immediately expects a contraction or continuation like ""s"" or ""the article"" or ""the article is..."" or ""This is a classic example of..."" or ""The code"" or ""the article is available at..."" — likely a URL or copyright boilerplate referencing the Python/C++ context."
5,1.7750593,0.112470075,get,828,342,171,36282.523,True,"getCookie using javascript\n\nPossible Duplicate:\nhow to setCookie and getCookie using domain name \n\nwhen i getcookie using javascript, that will get for the current URL. \ni want to getCookie by passing","Technical tutorial structure: article is presenting a detailed explanation of a specific research paper, with a list of topics covering the Fibonacci sequence.\n\nThe phrase ""The algorithm is:"" signals a standard academic citation/reference pattern, with ""The Fibonacci sequence"" establishing a repeating pattern of ""The Fibonacci sequence"" in the context of the paper.\n\nFinal token ""it'"" opens a closing sentence fragment (""it'""), immediately requiring a verb phrase — likely ""s"" or ""the article"" or ""This article"" or ""the code"" — continuing the citation boilerplate ""This article is available in the journal..."" or ""a blog post"" or ""the full explanation."""
6,1.7134069,0.14329672,How,3910,391,122,36410.586,True,How to run .sql file using java without manually parsing the document\nHow to run .sql file using java without manually parsing the document. Is there any prewritten class to do the parsing if it has t,"Technical article structure: a blog post reviewing a specific research paper, with a consistent pattern of explaining the problem and solution.\n\nThe phrase ""The results of the study are:"" signals a standard citation/reference block, with ""The article is published in the journal:"" establishing a bibliographic or URL citation pattern.\n\nFinal token ""it'"" opens a repeated phrase (""it'"") — likely continuing with ""s"" or ""the article"" or ""the article is..."" or ""This is a classic example of..."" or ""The code"" or ""the article is available at..."" — a closing sentence referencing the URL or a truncated ""it'"" likely completing the sentence about the Python/C++ context."
7,1.6971682,0.15141599,How,3910,369,144,36410.926,True,"How do I stop my function keys from acting as media controls?\nLast week my function keys suddenly became media keys. F4 now toggles play status, F5 skips to the next song, and F12 ejects my media tray","Technical article structure: a blog post reviewing a specific research paper, with a structured argument about the Fibonacci sequence and the Riemann hypothesis.\n\nThe phrase ""The following is a summary of the paper"" signals a repeating pattern of ""The Riemann Hypothesis"" citation, suggesting a standard academic/forum boilerplate.\n\nFinal token ""it'"" opens a closing phrase (""it'"") — likely ""it"" or ""the article"" or ""the article is..."" continuing the citation pattern ""it's a classic..."" or ""This is the first step..."" or ""The article"" or ""s."" — likely ""the article"" or ""a mathematical proof"" or ""the context of..."""
8,1.6928579,0.15357089,Changing,73860,232,281,36489.03,True,Changing UINavigationBar height in UITableView\nI am trying to change the height of the UINavigationBar in my NavigationController which precedes my UITableViewController in my table view application. ,"Technical article structure: informational blog post with structured argument, following a pattern of explaining a specific research topic with citations.\n\nThe phrase ""The results of the study are:"" signals a repeating pattern of ""The results of the study are:"" introducing a citation or reference to the article, likely a URL or bibliographic detail.\n\nFinal token ""it'"" opens a closing sentence fragment (""it'""), immediately requiring a contraction or verb phrase — likely ""s"" or ""the article"" or ""the article is..."" or ""This is a classic example of..."" or ""The code is..."" or ""The article is available at..."" continuing the citation boilerplate for the Python/C++ context."
9,1.6620568,0.16897169,How,3910,258,255,36402.414,True,How do I use the if statement to determen if the script should change the DNS-settings?\nMy PC is going to change between DNS-servers a lot and I don't want to do it manualy everytime. Therefore I want,"Technical article structure: a blog post reviewing a specific research paper, with a consistent pattern of explaining the problem and solution.\n\nThe phrase ""The results of the study are:"" signals a standard citation/reference block, with ""The article is published in the journal:"" establishing a repeating pattern of bibliographic metadata.\n\nFinal token ""it'"" opens a truncated clause (""it'""), immediately requiring a continuation like ""s"" or ""the article"" — likely ""s"" or ""the article"" or ""The function of the Fibonacci sequence"" or ""This is a classic example..."" or ""The article is available at..."" or ""the sentence is incomplete"" — a closing citation or summary statement."
10,1.6364506,0.18177457,How,3910,326,187,36400.844,True,How to stretch one object along multiple curves\nHow to stretch one object along multiple curves at once?\nI want to make hair cards. If I extrude the curves using geometry tab and then convert the curv,"Technical article structure: educational blog post with structured argumentation, following a pattern of explaining a specific topic with citations.\n\nThe phrase ""The following table shows the results of the Fourier transform of the signal"" signals a standard academic citation/reference block, with ""The article is from the journal"" establishing a bibliographic or copyright footer.\n\nFinal token ""it'"" opens a repeated phrase (""it'"") — likely continuing with ""it"" or ""the article"" or ""the article is..."" or ""s"" completing a copyright notice like ""This is the first part of the article"" or ""the article is from..."" or ""the following."" — a closing boilerplate phrase referencing the URL."
11,1.4941615,0.25291917,Device,15539,34,479,36252.707,True,Device not tested during pre-launch Android\nI've just uploaded an APK for an alpha release of my app (my first app). In the pre-launch report I received a message that a device wasn't tested. (Galaxy ,"Technical article structure: a blog post reviewing a specific research paper, with a consistent pattern of explaining the problem and solution.\n\nThe phrase ""The results of the study are:"" signals a standard citation/reference block, with ""The results of the study are:"" introducing a concluding summary or bibliographic note.\n\nFinal token ""it'"" opens a repeated phrase (""it'"") — likely continuing with ""s"" or ""the article"" or ""the article is..."" or ""This is a classic example of..."" or ""The article is..."" or ""the code"" — a truncated sentence referencing the ""the function"" or ""the article"" or ""the full explanation."""
