rank,nmse,cos,token_str,token_id,position,seq_len,vec_norm,av_parsed,text_preview,explanation
1,0.049634118,0.9751831, their,862,43,140,150.6518,True,World History Course Syllabus\nOverview\nThis course is designed for students to gain an understanding of the different eras of history which have created the world in which we live today. The course ex,"Educational/academic resource format with teacher/educational product description establishing curriculum content around World History and Global Studies.\n\nThe sentence structure ""This course examines history through time and civilizations and their development, exploring different societies and their"" implies a list or continuation of historical concepts about civilizations and societal development, likely referencing cultural, political, economic, or societal characteristics.\n\nFinal token ""their"" is mid-phrase in ""different societies and their,"" part of a parallel list structure (""Students will study different civilizations and their...""), strongly expecting a noun like ""contributions,"" ""evolutions,"" or ""relationships to world history,"" or ""ways of life and changes"" completing the clause."
2,0.050418936,0.9747902, Rupert,86169,28,113,108.99002,True,"The Phantom of the Opera (1925)\n\nSep 17, 2011\n\n\n\nFirst film adaptation, directed by Rupert Julian, of Gaston Leroux's novel. The film features Lon Chaney in the title role as the deformed Phantom who ","Historical/cultural reference format with literary description of a film adaptation, suggesting a book or film article about Agatha Christie's ""The Hound of the Baskervilles.""\n\nThe phrase ""An early 1930s film version, directed by Rupert"" signals an attribution or credit, implying a director's name or production details about the adaptation's stylistic approach.\n\nFinal token ""Rupert"" is mid-name in ""Rupert,"" part of an attribution clause (""Directed by: Rupert""), strongly expecting a surname like ""Woolcott"" or ""Barnard"" or ""Hodgson,"" completing a historical figure's name associated with the film's production."
3,0.052122384,0.97393876, gain,8722,16,140,144.82307,True,World History Course Syllabus\nOverview\nThis course is designed for students to gain an understanding of the different eras of history which have created the world in which we live today. The course ex,"Educational/academic course description format with a teacher's webpage structure suggesting a course outline or textbook description for World History.\n\nThe phrase ""This course is designed to allow students to gain"" establishes an introductory statement pattern promising learning objectives, implying the course description will continue listing historical knowledge goals or academic outcomes related to World History and Global Studies.\n\nFinal token ""gain"" is mid-phrase in ""students to gain,"" part of a stated objective clause (""This course is designed for students to gain""), strongly expecting a noun phrase like ""a comprehensive understanding of"" or ""knowledge of world history, cultural perspectives, and critical thinking skills"" or ""a foundational understanding of global history."""
4,0.0526199,0.97369045, Pal,10925,130,512,105.94605,True,PEP: 569 Title: Python 3.8 Release Schedule Author: Łukasz Langa\n<EMAIL_ADDRESS>Status: Final Type: Informational Topic: Release\nCreated: 27-Jan-2018 Python-Version: 3.8\n\nAbstract\n\nThis document descr,"Technical documentation format with a French-language Stack Overflow post about Python's `requests` library, listing features with code examples and a ""broken"" status.\n\nThe phrase ""Some contributors like Thomas Pornin and Pierre Pal"" suggests an attribution or name, likely a contributor or variable name from a JavaScript or similar library context, with ""John Pal..."" implying a French developer's name or code.\n\nFinal token ""Pal"" is mid-name (""Jean-Pierre Pal""), part of an incomplete attribution clause (""John Pal...""), strongly expecting a surname continuation like ""mer"" or ""vin"" or ""is"" or ""man's"" or ""made a list of Pythonic conventions,"" completing the attribution."
5,0.054537483,0.9727312,Pa,20291,342,409,109.09409,True,"Importance of Knowing How to Summarize Oral Information\nIn today’s world we are inundated with too much information, so knowing how to effectively summarize information is an important skill to acquir","Educational/academic article format with a Canadian-style learning resource, defining and explaining ""critical thinking"" with practical strategies for students.\n\nThe text ""A well-known strategy for memory and learning is the Cornell Note-taking System"" signals a citation or author name, likely a source or resource section following a list or article structure, suggesting a second author or academic reference.\n\nFinal token ""Pa"" is a truncated word mid-sentence (""Pa""), part of an author attribution or reference section (""Sources: Pa""), immediately expecting a surname or academic term like ""ricci"" or ""littler"" or ""erson's Learning Strategies"" or ""This study has shown..."" continuing a list."
6,0.055066306,0.9724668, fertil,35114,322,512,131.82848,True,"Agrochemicals Use Practices and Health Challenges of Smallholder Farmers in Ghana\n\nBackground: Globally, Africa is one of the continents that uses the lowest quantity of agrochemicals in farming. Howe","Academic Nigerian journal article structure with formal academic writing style discussing environmental sociology and sustainability in Ghana, establishing a research context around farmer perceptions.\n\nThe sentence ""One of the common complaints about soil degradation in Ghana is the category of agricultural chemicals, particularly fertil"" begins listing specific examples of agricultural chemical types, likely naming fertilizer or pesticide products as part of the study's findings.\n\nFinal token ""fertil"" is a truncated word mid-list (""such as fertil""), part of an enumeration of agricultural chemical types (""One example is fertilizers""), immediately requiring completion like ""izers, pesticides"" or ""izers, pesticides, and pesticides"" or ""izers and other inputs,"" continuing the specific example."
7,0.055441674,0.97227913,Joseph,60660,13,512,113.2646,True,"# Transversals and colorings of simplicial spheres\n\nJoseph Briggs<EMAIL_ADDRESS>Department of Mathematics and Statistics,\nAuburn University, Auburn, AL, USA.  Michael Gene Dobbins\n<EMAIL_ADDRESS>Depar","Mathematical exposition format with abstract notation and combinatorial geometry context, suggesting a journal or paper title about a geometric inequality or structure.\n\nThe phrase ""A proof of the Hadwiger-Nelson problem by Joseph"" implies a name or author attribution, likely a mathematician's name or a specific theorem, suggesting continuation of a list or definition of combinatorial objects.\n\nFinal token ""Joseph"" is a first name mid-phrase (""Joseph""), part of an attribution or name reference (""John""), strongly expecting a surname or continuation like ""Kung"" or ""Bose"" or ""Hartman's proof"" or ""Simplicial complexes"" or similar combinatorial context."
8,0.05566177,0.9721691, Jak,34834,49,512,108.49387,True,Multi-parameter inverse scattering\n\n# Efficient scattering approach to seismic full-waveform inversion in\nanisotropic elastic media with variable density\n\nKui Xiang111footnotemark: 122footnotemark: 2 ,"Scientific paper title format with LaTeX notation (""arXiv:1905.04445""), suggesting a physics paper abstract about wave propagation in reservoirs.\n\nThe phrase ""Jørgen Bendtsen and Jak"" implies a second author name or contributor, likely a Danish researcher's name or a numerical method descriptor, suggesting a related field or computational context.\n\nFinal token ""Jak"" is a truncated surname mid-phrase (""Per Jak""), part of a list of authors (""Thomas Jakobsen and Per Jak...""), strongly expecting ""obsen"" or ""obson"" or ""kamp"" completing the name, likely followed by a numerical method description."
9,0.056172904,0.9719137, other,1008,57,512,139.71265,True,1. Introduction {#sec1-sensors-23-07059}\nOnshore transmission/distribution oil/gas pipelines are major energy systems to transport and deliver energy to power communities and other end users. These pi,"Technical paper structure: Chinese academic article format with abstract introducing a sensor-based monitoring framework for pipeline integrity, establishing scientific context around ultrasonic detection.\n\nThe sentence ""Besides corrosion, pipeline integrity degradation can be attributed to various factors such as mechanical damage, fatigue, and other"" mirrors a list pattern suggesting additional hazards or failure mechanisms, continuing the broader context of asset health degradation.\n\nFinal token ""other"" ends an incomplete noun phrase (""and various failures, corrosion and other""), part of a parallel list of causes (""due to corrosion, fatigue and other factors and other""), strongly expecting ""physical hazards"" or ""degradation factors"" or ""non-mechanical threats"" or ""structural damages."""
10,0.05641342,0.97179306, Jeremy,27118,17,512,107.731735,True,"PEP: 1 Title: PEP Purpose and Guidelines Author: Barry Warsaw, Jeremy\nHylton, David Goodger, Alyssa Coghlan Status: Active Type: Process\nCreated: 13-Jun-2000 Post-History: 21-Mar-2001, 29-Jul-2002,\n03","Technical Python documentation format with a quoted code snippet, suggesting a Python mailing list or PEP reference context about the `__import__` module.\n\nThe phrase ""Originally proposed by Guido van Rossum, with contributions from Jeremy"" implies a list of contributors or a name pair, likely a well-known Python developer or community figure related to the `__main__` concept.\n\nFinal token ""Jeremy"" is mid-name in an incomplete attribution (""Contributors: Guido, Jeremy""), part of a parenthetical attribution clause (""This module was originally named...""), strongly expecting ""Schafer"" or ""Hindle"" or ""Katz"" to complete the contributor's name."
